id,name,domain_expertise,company_role,interview_availability,preferred_contact_method
1,Dr. Stefan Müller,"AI strategy, digital transformation",Partner at McKinsey Zurich,monthly,video_call
2,Lisa Chen,"EdTech product management, marketplace design",VP Product at Coursera (ex-),biweekly,video_call
3,Marc Thommen,"venture capital, startup scaling",Partner at Verve Ventures,monthly,in_person_sg
4,Dr. Priya Sharma,"NLP, conversational AI, chatbot design",Senior Research Scientist at Google Zurich,monthly,video_call
5,Thomas Flüeler,"Swiss higher education policy, university governance",Former Secretary General of swissuniversities,quarterly,email_first
6,Sandra Bühler,"UX research, design thinking, service design",Design Director at Zühlke,biweekly,video_call
7,Dr. Jan Kundert,"data science, recommender systems",CTO at JobCloud,monthly,video_call
8,Claudia Schreiber,"corporate-university partnerships, talent pipelines",Head of University Relations at Novartis,monthly,email_first
9,Reto Steinmann,"startup operations, go-to-market in Switzerland",CEO at Venturelab,monthly,in_person_sg
10,Dr. Anika Weiss,"knowledge graphs, semantic search",Principal Engineer at Microsoft Switzerland,quarterly,video_call
11,Michael Hartmann,"B2B SaaS sales, enterprise education",VP Sales at Eightfold AI (EMEA),monthly,video_call
12,Dr. Fabienne Brodbeck,"career counseling, vocational psychology",Professor of Career Development at ZHAW,biweekly,in_person_zh
13,Pascal Kaufmann,"AI entrepreneurship, brain-inspired computing",Founder of Starmind / Mindfire,quarterly,video_call
14,Andrea Degen,"platform business models, network effects",Strategy Lead at TX Group,monthly,video_call
15,Dr. Lukas Golder,"Swiss labor market, skills demand analysis",Co-Director at gfs.bern,monthly,video_call
16,Martina Bühler,"product design, prototyping, design sprints",Head of Design at Frontify,biweekly,video_call
17,Daniel Abadi,"database systems, query optimization, data infrastructure",Professor at University of Maryland (Swiss origin),quarterly,video_call
18,Christina Kehl,"fintech, Swiss startup ecosystem, policy",Former CEO of Swiss Finance Startups,monthly,email_first
19,Dr. Rafael Huber,"climate tech, sustainability metrics, impact measurement",Managing Director at South Pole,monthly,video_call
20,Samantha Lee,"student engagement, higher ed marketing",CMO at ApplyBoard,quarterly,video_call
21,Roger Fischer,"Swiss apprenticeship system, vocational training",Director at Berufsbildung Schweiz,monthly,in_person_be
22,Dr. Mirjam Olsson,"academic publishing, open science, research data",Head of Open Science at SNSF,monthly,email_first
23,Alex Fries,"full-stack development, API design, developer experience",CTO at Beekeeper,biweekly,video_call
24,Dr. Helena Trachsel,"gender in tech, diversity in STEM, inclusion",Former Head of Federal Office for Gender Equality,quarterly,email_first
25,Jonas Schmid,"growth marketing, community building, student platforms",Growth Lead at Notion (EMEA),monthly,video_call
