id,student_program,thesis_idea,keywords,preferred_methodology
1,MSc Business Innovation,"How are Swiss SMEs adopting AI in their supply chains? A multiple case study of manufacturing firms in Eastern Switzerland.","AI adoption, SMEs, supply chain, manufacturing",qualitative_case_study
2,MSc Computer Science,"Building a conversational thesis advisor: Using LLMs and RAG to match students with supervisors based on research interests.","LLM, RAG, recommender system, NLP",prototype_development
3,BSc Business Administration,"The impact of ESG reporting requirements on Swiss startup valuations: An empirical analysis.","ESG, startups, valuation, regulation",quantitative_empirical
4,MSc Data Science,"Predicting student-supervisor compatibility using embeddings: A semantic matching approach for thesis allocation.","embeddings, matching, NLP, education",experimental
5,MSc International Affairs,"How Swiss universities can leverage industry partnerships to improve graduate employability: A comparative study.","university-industry, employability, partnerships",comparative_analysis
6,BSc Computer Science,"A mobile app for connecting thesis students with industry experts: Design and evaluation of a matching prototype.","mobile app, matching, UX, experts",design_science
7,MSc Marketing,"Content marketing strategies for EdTech startups targeting Swiss universities: What works and why.","EdTech, content marketing, B2B, universities",mixed_methods
8,MSc Finance,"Open Banking API adoption among Swiss cantonal banks: Barriers and enablers.","Open Banking, APIs, fintech, cantonal banks",qualitative_interviews
9,BSc Information Systems,"Chatbot-assisted career counseling for university students: A design science approach.","chatbot, career counseling, design science",design_science
10,MSc Management,"Remote work and its impact on innovation output in Swiss tech startups: A longitudinal study.","remote work, innovation, startups, Switzerland",longitudinal_survey
11,BSc Data Science,"Sentiment analysis of Swiss university reviews: What drives student satisfaction?","NLP, sentiment analysis, higher education",quantitative_nlp
12,MSc Entrepreneurship,"From thesis to startup: Analyzing the commercialization potential of Swiss master's thesis projects.","entrepreneurship, commercialization, thesis, IP",case_study
13,BSc Mechanical Engineering,"Digital twin implementation for predictive maintenance in Swiss manufacturing SMEs.","digital twin, IoT, predictive maintenance, SME",prototype_development
14,MSc Public Policy,"The role of cantonal innovation agencies in fostering university-industry collaboration in Switzerland.","innovation policy, cantons, collaboration",policy_analysis
15,BSc Economics,"The gig economy and student employment in Switzerland: Opportunities and risks.","gig economy, student employment, labor market",survey_research
16,MSc Computer Science,"Knowledge graph construction from Swiss academic publications for research trend analysis.","knowledge graphs, academic papers, NLP",experimental
17,BSc Psychology,"Thesis anxiety among Swiss university students: Prevalence, predictors, and coping strategies.","thesis anxiety, mental health, students",survey_research
18,MSc Business Analytics,"Customer churn prediction for B2B SaaS platforms in the Swiss EdTech market.","churn prediction, SaaS, B2B, machine learning",quantitative_ml
19,BSc Communication,"How Swiss startups use LinkedIn for employer branding: A content analysis.","LinkedIn, employer branding, startups, social media",content_analysis
20,MSc Sustainable Development,"Measuring the carbon footprint of Swiss higher education institutions: A benchmarking framework.","sustainability, carbon footprint, universities",benchmarking
21,BSc Computer Science,"Voice-based thesis topic exploration: A conversational AI prototype for academic discovery.","voice UI, conversational AI, academic search",prototype_development
22,MSc Strategy,"Platform competition in the Swiss job market: How vertical platforms challenge generalists.","platform strategy, competition, job market",case_study
23,BSc Industrial Engineering,"Optimizing student project team formation using constraint satisfaction algorithms.","team formation, optimization, algorithms",algorithmic
24,MSc Digital Business,"The role of AI in Swiss recruitment: Adoption, ethics, and candidate experience.","AI recruitment, ethics, HR tech",mixed_methods
25,BSc Informatics,"Building a recommendation engine for academic conferences using collaborative filtering.","recommender system, collaborative filtering, academia",prototype_development
26,MSc Economics,"Skills mismatch in the Swiss labor market: A text mining approach using job postings and university curricula.","skills gap, text mining, labor market, education",quantitative_nlp
27,BSc Business Information Technology,"Blockchain-based credential verification for Swiss universities: A feasibility study.","blockchain, credentials, verification, education",feasibility_study
28,MSc Innovation Management,"How corporate hackathons drive innovation: Lessons from Swiss enterprises.","hackathons, corporate innovation, knowledge transfer",qualitative_interviews
29,BSc Geography,"GIS-based analysis of university accessibility in Swiss rural regions.","GIS, accessibility, rural, higher education",geospatial_analysis
30,MSc Applied Ethics,"Ethical implications of AI-driven student assessment: A Swiss perspective.","AI ethics, assessment, fairness, education",philosophical_analysis
