id,company_name,topic_title,description,required_skills,industry_sector,contact_type
1,PwC Switzerland,"AI-Driven Audit Risk Assessment","Develop a framework to assess how AI tools can improve risk identification in financial audits of Swiss SMEs. Analyze current manual processes and propose automation opportunities.","data analysis, financial accounting, machine learning basics",Professional Services,company_supervisor
2,Nespresso (Nestlé),"Sustainable Packaging Innovation Tracking","Build a system to track and evaluate sustainable packaging innovations across Nespresso's supply chain. Map emerging materials and assess feasibility for Swiss production.","sustainability, supply chain, data visualization",Consumer Goods,project_mentor
3,Swiss Post,"Last-Mile Delivery Optimization with AI","Optimize last-mile parcel delivery routes in Swiss urban areas using machine learning. Consider constraints like traffic, weather, and delivery time windows.","operations research, Python, geospatial analysis",Logistics,technical_contact
4,SBB (Swiss Federal Railways),"Predictive Maintenance for Rolling Stock","Develop a predictive maintenance model for SBB's train fleet using sensor data. Focus on reducing unplanned downtime while optimizing maintenance schedules.","time series analysis, IoT, predictive modeling",Transportation,company_supervisor
5,Swisscom,"5G Use Cases for Swiss Education","Identify and evaluate potential 5G-enabled applications for Swiss universities and schools. Develop a business case for the most promising use case.","telecommunications, business modeling, UX research",Telecommunications,project_mentor
6,Zurich Insurance,"Climate Risk Modeling for Swiss Properties","Build a climate risk assessment tool for Swiss real estate portfolios. Integrate weather data, flood maps, and building characteristics.","data science, GIS, risk modeling",Insurance,technical_contact
7,Roche,"Patient Journey Mapping in Clinical Trials","Map and analyze patient journeys in clinical trials to identify friction points. Propose digital solutions to improve patient retention and experience.","healthcare, UX research, data analysis",Pharma & Healthcare,company_supervisor
8,ABB Switzerland,"Digital Twin for Smart Buildings","Create a digital twin prototype for energy management in Swiss commercial buildings. Integrate IoT sensor data with building management systems.","IoT, 3D modeling, energy systems",Industrial Technology,technical_contact
9,Credit Suisse (UBS),"ESG Scoring for Swiss Investment Portfolios","Develop an ESG scoring methodology tailored to Swiss companies. Create a prototype tool that rates companies based on publicly available sustainability data.","finance, NLP, web scraping, ESG frameworks",Financial Services,company_supervisor
10,Migros,"Personalized Nutrition Recommendations","Design an AI-powered nutrition recommendation engine using purchase history and dietary preferences. Consider Swiss dietary habits and local product availability.","machine learning, recommendation systems, nutrition science",Retail,project_mentor
11,Hilti (Liechtenstein/CH),"Construction Site Safety Monitoring","Develop a computer vision system for monitoring safety compliance on construction sites. Detect PPE violations and unsafe behaviors in real-time.","computer vision, deep learning, safety engineering",Construction,technical_contact
12,Bühler Group,"Food Waste Reduction Through Process Optimization","Analyze production data to identify food waste hotspots in grain processing. Propose ML-based optimization strategies.","manufacturing, data analytics, sustainability",Food Processing,company_supervisor
13,Sonova (Phonak),"Hearing Aid UX for Young Adults","Research and design improved user experiences for hearing aid apps targeting Gen Z users. Focus on reducing stigma and improving daily usability.","UX design, user research, accessibility",MedTech,project_mentor
14,Stadler Rail,"Passenger Flow Prediction for Train Design","Model passenger flow patterns in regional trains to inform interior design decisions. Use simulation and real ridership data.","simulation, data analysis, transportation planning",Manufacturing,technical_contact
15,Logitech,"Ergonomic Workspace Analytics","Build a tool that analyzes workspace setups via camera/sensor input and provides ergonomic improvement suggestions for remote workers.","computer vision, ergonomics, product design",Consumer Electronics,project_mentor
16,On Running,"Sustainable Materials Sourcing Dashboard","Create a dashboard to track and evaluate sustainable material suppliers for athletic footwear. Include carbon footprint estimates and compliance metrics.","supply chain, sustainability, dashboard development",Sportswear,company_supervisor
17,Sensirion,"Indoor Air Quality and Productivity Correlation","Analyze the relationship between indoor air quality metrics and workplace productivity using sensor data from Swiss office buildings.","data science, IoT, statistics",Sensors & Technology,technical_contact
18,Avaloq,"Open Banking API Adoption in Switzerland","Research adoption patterns of Open Banking APIs among Swiss financial institutions. Identify barriers and propose strategies for increasing adoption.","fintech, API design, market research",Financial Technology,company_supervisor
