id,name,university,department,research_interests,methodology_preferences,availability_status,past_thesis_topics
1,Prof. Dr. Anna Keller,University of St. Gallen,Institute of Technology Management,"AI adoption in SMEs, digital transformation, technology strategy","qualitative case studies, mixed methods",available,"AI readiness assessment in Swiss manufacturing; Digital maturity models for family businesses; Technology adoption barriers in traditional industries"
2,Prof. Dr. Marco Bernasconi,ETH Zurich,Department of Management Technology and Economics,"supply chain optimization, operations research, Industry 4.0","quantitative modeling, simulation",available,"Blockchain-based supply chain transparency; Predictive maintenance in Swiss logistics; Smart factory implementation roadmaps"
3,Prof. Dr. Laura Meier,University of Zurich,Department of Informatics,"natural language processing, information retrieval, knowledge graphs","experimental, prototype-based",available,"Conversational AI for career counseling; Semantic search in academic databases; Knowledge graph construction from unstructured text"
4,Prof. Dr. Thomas Richter,University of Bern,Institute of Marketing and Management,"consumer behavior, digital marketing, platform economics","surveys, A/B testing, econometrics",available,"Student decision-making in higher education; Platform trust mechanisms in two-sided markets; Influencer marketing effectiveness in B2B"
5,Prof. Dr. Sarah Hofmann,ZHAW,School of Management and Law,"entrepreneurship, innovation management, startup ecosystems","action research, design science",available,"Lean startup methods in Swiss deep tech; University spin-off success factors; Corporate-startup collaboration models"
6,Prof. Dr. Daniel Wüest,University of St. Gallen,Institute of Computer Science,"machine learning, recommender systems, data mining","prototype development, benchmarking",limited,"Hybrid recommender systems for job matching; Cold-start problem in educational platforms; Explainable AI for career recommendations"
7,Prof. Dr. Elena Zanetti,USI Lugano,Faculty of Informatics,"human-computer interaction, UX research, conversational interfaces","user studies, design thinking",available,"Chatbot UX patterns in higher education; Voice interfaces for accessibility; Designing trust in AI-mediated interactions"
8,Prof. Dr. Christoph Bauer,OST St. Gallen,Institute for Innovation Design and Engineering,"design thinking, service design, user-centered innovation","prototyping, co-creation workshops",available,"Service design for university career services; Design sprints in EdTech; Student journey mapping methodologies"
9,Prof. Dr. Nadia Fischer,EPFL,College of Management of Technology,"tech transfer, university-industry collaboration, R&D management","mixed methods, longitudinal studies",available,"Barriers to university-industry thesis projects; IP management in student research; Measuring impact of industry-embedded theses"
10,Prof. Dr. Philippe Dubois,University of Lausanne,Faculty of Business and Economics,"organizational behavior, future of work, talent management","surveys, structural equation modeling",limited,"Graduate employability in the Swiss labor market; Skills gap analysis across Swiss industries; Remote work adoption in Swiss companies"
11,Prof. Dr. Katrin Müller,ETH Zurich,Department of Computer Science,"semantic web, linked data, ontology engineering","formal methods, knowledge representation",available,"Academic knowledge graphs for research matching; Ontology-based curriculum mapping; Linked open data in higher education"
12,Prof. Dr. Reto Gisler,University of Basel,Faculty of Business and Economics,"fintech, digital banking, financial innovation","case studies, comparative analysis",available,"Open banking adoption in Switzerland; RegTech solutions for Swiss financial institutions; Crypto-asset regulation impact studies"
13,Prof. Dr. Simone Carraro,University of St. Gallen,Institute of Information Management,"data analytics, business intelligence, digital platforms","data-driven, experimental",available,"Analytics-driven student engagement; Predictive models for academic success; Data governance in educational institutions"
14,Prof. Dr. Isabelle Rouge,HEC Lausanne,Department of Information Systems,"digital ecosystems, API economies, marketplace design","design science, simulation",available,"Marketplace dynamics in education; API-first platform strategies; Network effects in professional matching platforms"
15,Prof. Dr. Stefan Kuhn,FHNW,School of Business,"sustainable business models, circular economy, CSR","qualitative, grounded theory",limited,"Sustainability reporting in Swiss SMEs; Circular business model innovation; ESG integration in startup valuations"
16,Prof. Dr. Yuki Tanaka,University of Zurich,Department of Banking and Finance,"venture capital, startup financing, valuation","quantitative, econometrics",available,"VC decision-making in Swiss deep tech; Valuation methods for pre-revenue startups; Impact investing in EdTech"
17,Prof. Dr. Maria Santos,ZHAW,Institute of Applied Information Technology,"computer vision, deep learning, multimodal AI","experimental, benchmark-driven",available,"Document understanding with multimodal models; AI-assisted academic paper analysis; Visual search in educational content"
18,Prof. Dr. Lukas Brunner,University of Bern,Institute of Political Science,"education policy, public administration, governance","comparative analysis, policy evaluation",available,"Swiss higher education reform analysis; Public funding models for EdTech; Governance of university-industry partnerships"
19,Prof. Dr. Andrea Rossi,USI Lugano,Institute of Digital Technologies for Communication,"social media analytics, network science, digital communication","network analysis, NLP",available,"Academic collaboration networks; LinkedIn as professional development tool; Information diffusion in student communities"
20,Prof. Dr. Christina Wegmann,University of St. Gallen,Institute of Accounting Control and Auditing,"corporate governance, auditing, compliance","archival data, regression analysis",limited,"Compliance automation in Swiss firms; AI-assisted auditing processes; Governance structures in platform companies"
21,Prof. Dr. Michael Hess,ETH Zurich,Institute for Machine Learning,"reinforcement learning, optimization, automated decision-making","algorithm design, simulation",available,"Automated scheduling for university courses; Optimization of student-supervisor matching; Multi-objective resource allocation in education"
22,Prof. Dr. Barbara Frey,University of Zurich,Department of Psychology,"career development, vocational psychology, motivation","longitudinal surveys, experiments",available,"Career indecision in Swiss university students; Motivation factors in thesis topic selection; Mentoring effectiveness in higher education"
23,Prof. Dr. Oliver Schwab,HSG,Institute of Marketing,"B2B marketing, sales management, go-to-market strategy","interviews, case studies",available,"Go-to-market strategies for EdTech startups; B2B sales cycles in Swiss higher education; Customer success in SaaS platforms"
24,Prof. Dr. Verena Stolz,ZHAW,Institute for Applied Simulation,"agent-based modeling, complex systems, simulation","computational modeling",available,"Agent-based models of student mobility; Simulating university admission markets; Complex adaptive systems in education"
25,Prof. Dr. Hans-Peter Kälin,University of Lucerne,Faculty of Economics and Management,"regional economics, innovation clusters, SME management","empirical, survey-based",available,"Innovation clusters in Eastern Switzerland; SME digitalization in rural regions; Regional talent retention strategies"
